index,open,high,low,close,volume,symbol,date,ta
898,76.6235,77.4671,76.0084,77.3617,1714636.0289933,PKN,2021-10-12,0
900,77.3617,78.6094,74.8485,76.4478,1495075.562405,PKN,2021-10-13,0
902,77.2386,78.996,76.4478,78.4688,1622017.3145721,PKN,2021-10-14,0
904,78.7324,80.1384,78.6445,79.6111,1362915.934639,PKN,2021-10-15,0
906,79.5232,79.8747,78.0822,78.5919,963202.76509175,PKN,2021-10-18,0
908,78.3458,79.8396,77.1859,77.801,1323478.5821839,PKN,2021-10-19,0
910,77.801,79.1717,77.6956,79.1191,881325.93241066,PKN,2021-10-20,0
912,78.8203,78.8203,76.5708,76.975,1408865.104799,PKN,2021-10-21,0
914,76.5356,77.0453,75.4461,75.9557,1032025.2355055,PKN,2021-10-22,0
916,76.0611,78.6797,76.0611,78.6797,970910.65417174,PKN,2021-10-25,0
918,78.7324,79.5936,78.1525,78.6445,840178.1182271,PKN,2021-10-26,0
920,78.6445,78.6445,76.8344,78.293,938747.60069785,PKN,2021-10-27,0
922,79.2597,79.576,76.6763,76.852,1482956.6622407,PKN,2021-10-28,0
924,76.852,77.8713,75.0418,75.6218,1423176.9921561,PKN,2021-10-29,0
926,75.6218,78.17,75.4461,76.9223,1857949.505995,PKN,2021-11-02,0
928,76.8696,77.678,75.6569,76.4478,1017614.3393856,PKN,2021-11-03,0
930,76.8696,78.4688,76.7113,78.2052,1227223.8563039,PKN,2021-11-04,0
932,78.1173,78.381,77.0278,77.7307,505172.29626576,PKN,2021-11-05,0
934,78.2052,78.9082,76.6939,77.0628,697779.61875685,PKN,2021-11-08,0
936,76.9047,77.6428,75.8854,77.3617,1164917.7557221,PKN,2021-11-09,0
938,77.2211,78.4688,76.9574,77.2035,1030142.9309819,PKN,2021-11-10,0
940,76.975,77.5374,75.2,75.3757,1499460.398759,PKN,2021-11-12,0
942,75.1824,76.0787,69.752,72.7924,2140719.670379,PKN,2021-11-15,0
944,72.3354,73.7765,71.6149,73.3372,1826452.2010981,PKN,2021-11-16,0
